entry_id,asset_id,source_field
entry_446aefea54cc74e94ebf,asset_d983745c9c3a47099a28,PDF | Image Link
entry_44f1f903e437d7208bf7,asset_71758de42a2df926a980,PDF | Image Link
entry_45480f17f8b90336f8f3,asset_bdf033d4a47eaad315e0,PDF | Image Link
entry_45c5d2f73baf0a5305d9,asset_e93f6997811954dc9abc,PDF | Image Link
entry_463e0e008b30f0a16251,asset_6058b5fa7922183531bc,PDF | Image Link
entry_467786750848c62af234,asset_1c2287cdf770e344b64b,PDF | Image Link
entry_46c8fbeb08ad187cdc21,asset_7d58f0cac741650a3fd1,PDF | Image Link
entry_471b5e5ae550e7a386b6,asset_48e4bc1bdb5a66e87979,PDF | Image Link
entry_474ae5c7eddf350eccd8,asset_4844321219e306af8703,PDF | Image Link
entry_479e3b24e7790c394913,asset_f8bd1f11b7a2ae487f38,PDF | Image Link
entry_47e944662bb693d95e84,asset_ad454ca6f67e0f2d42ca,DVIDS Video ID
entry_47fffd71a5cd0eb9a396,asset_34f3278ad20d348fba78,PDF | Image Link
entry_482c3c008d3505898893,asset_3deb237b1d68e203bbde,PDF | Image Link
entry_485c46fbfcb12bff2e14,asset_627c78c7c1f0aef75514,DVIDS Video ID
entry_48748f089a5d21c4bad0,asset_6bda02c546051f43aa4a,PDF | Image Link
entry_499a06d53317d7334053,asset_ce1c5ab4346245c3779b,DVIDS Video ID
entry_49d05ba238488efc60e4,asset_c304734c0435788709f0,PDF | Image Link
entry_4a0d69714ab926713cdd,asset_9f4bb9118bf4f43e1230,DVIDS Video ID
entry_4a18a3ec0711d06cd0ec,asset_8bb54e0aec5e91adfe61,PDF | Image Link
entry_4aad3a7cdd11b32f817f,asset_96f4d5e8c8f90ee509d6,PDF | Image Link
entry_4bee63ff3b6ea42c8412,asset_65ac8ab1ed9cf6a37a21,DVIDS Video ID
entry_4cb93586b3e4ee7daf39,asset_7fd3d2656cbc83a6c1b5,PDF | Image Link
entry_4d27baba778f981c00f4,asset_e2371ff7657d231eda08,PDF | Image Link
entry_4dd49b67a6d0d18cc584,asset_a0ec63eff6d4d6439b91,PDF | Image Link
