pairing_id,source_entry_id,target_entry_id,source_field,raw_reference,resolution_rule
pair_55da858ac3f07b1bed56,entry_a776ccce4a77820bf77a,entry_0c2f003ad8b1da78404c,PDF Pairing,USPER Statement about UAP Sighting,exact_normalized_label
pair_573b34fa6a7978d60623,entry_bc7ad60769463515f841,entry_0c2f003ad8b1da78404c,PDF Pairing,USPER Statement about UAP Sighting,exact_normalized_label
pair_57b7498e88a809ee83c7,entry_0d8fcb89c8fb00abccfa,entry_ad59af9d44615688a44e,PDF Pairing,FBI Photo B015,exact_normalized_label
pair_586b866745feb9f4c069,entry_0d8fcb89c8fb00abccfa,entry_3417720dabb446f7456b,PDF Pairing,FBI Photo A008,exact_normalized_label
pair_59055bc363d27f83d622,entry_3919f2504491b09c0a70,entry_0177dbb4d82c0471a1d9,Video Pairing,DOW-UAP-PR122,exact_normalized_label
pair_59601520dd5b140cb21a,entry_9b56deb144a6f73e9cd6,entry_09ff9a4916893c28f38d,PDF Pairing,Western US Event,exact_normalized_label
pair_598b15d774e2b86dcc74,entry_0d8fcb89c8fb00abccfa,entry_66872a1dc8877b5ebdf0,PDF Pairing,FBI Photo B013,exact_normalized_label
pair_5a2dbe8f12abc87f8647,entry_09ff9a4916893c28f38d,entry_ed950eea4fe4b57464b3,Video Pairing,FBI-UAP-D018,exact_normalized_label
pair_5b05a516a6936e366fd8,entry_0d8fcb89c8fb00abccfa,entry_a776ccce4a77820bf77a,PDF Pairing,FBI Photo B003,exact_normalized_label
pair_5c8b5ad3dd1d08fc98d7,entry_9920d27a349af18b1398,entry_5720d3b0c9a171cd022c,PDF Pairing,FBI-UAP-D040,exact_normalized_label
pair_5dcd24913f43a29cb3b1,entry_276d6b5ee0373cb99514,entry_6ba015e7d53a2d1e241e,Video Pairing,FBI-UAP-PR006,exact_normalized_label
pair_5e31d4c0dbbbdc2f927b,entry_1b7c81e3a451f3580f29,entry_0c2f003ad8b1da78404c,PDF Pairing,USPER Statement about UAP Sighting,exact_normalized_label
pair_5ed89d851edc7c566e6b,entry_7d8033080a7c69283cd8,entry_0c2f003ad8b1da78404c,PDF Pairing,USPER Statement about UAP Sighting,exact_normalized_label
pair_5f16846aea9a11815c68,entry_09ff9a4916893c28f38d,entry_608354d6f1a7a88edfd6,Video Pairing,FBI-UAP-D015,exact_normalized_label
pair_5f7016170ae2d476ae57,entry_09ff9a4916893c28f38d,entry_16308024a23f97021c6f,Video Pairing,DOW-UAP-D083,exact_normalized_label
pair_5f8345f0e848d4048b16,entry_0d8fcb89c8fb00abccfa,entry_8ab7c138316f202a6888,PDF Pairing,FBI Photo A007,exact_normalized_label
pair_633ab6bd24a28d1a155b,entry_fdd30a12eb1dc38d2ad6,entry_0d8fcb89c8fb00abccfa,PDF Pairing,"ODNI-UAP-D001, USPER Narrative, Senior USIC Official",exact_normalized_label
pair_641b830f9a1f0b5a3ffa,entry_49d05ba238488efc60e4,entry_0d8fcb89c8fb00abccfa,PDF Pairing,"ODNI-UAP-D001, USPER Narrative, Senior USIC Official",exact_normalized_label
pair_64bcf44c601934d97e6f,entry_6d0105d0e5e08b046043,entry_003dca02286e780af10f,Video Pairing,DOW-UAP-PR123,exact_normalized_label
pair_652bdf3ebfff1db8ae62,entry_485c46fbfcb12bff2e14,entry_66aad266cfd6ac0de1a8,PDF Pairing,FBI-UAP-D009,exact_normalized_label
pair_6593bf4f27931243f5ed,entry_0d8fcb89c8fb00abccfa,entry_17c16402f5c3ee0a6270,PDF Pairing,FBI Photo B018,exact_normalized_label
pair_66365b659aefc8609012,entry_1cce74750587ab8153bf,entry_e2370c33c01c4f4f9a71,PDF Pairing,DOE-UAP-D005,exact_normalized_label
pair_69ed375dcd1c31f1f8e6,entry_09ff9a4916893c28f38d,entry_e4b81855e1e6e65ad046,Video Pairing,FBI-UAP-D019,exact_normalized_label
pair_6a13764a0e46fabc74b0,entry_0cec1907397460d7a188,entry_60429881f03d7514c522,PDF Pairing,CIA-UAP-D023,exact_normalized_label
pair_6a5b5006849891d987f6,entry_3f3439a6ea8d61e81c1e,entry_a27c40e4c79ca9a1f333,Video Pairing,DOW-UAP-PR125,exact_normalized_label
pair_6be15257e5fae942dbf8,entry_463e0e008b30f0a16251,entry_09ff9a4916893c28f38d,PDF Pairing,Western US Event,exact_normalized_label
pair_6c7a93073e4e168df409,entry_fb1c683a5adb0cb2109e,entry_5168599f58ec0ad704c0,PDF Pairing,FBI-UAP-D017,exact_normalized_label
pair_6d92709b8a43c6f9ec2a,entry_a27c40e4c79ca9a1f333,entry_b9e6e8e4626675dd3874,Video Pairing,DOW-UAP-PR124,exact_normalized_label
pair_6e8127ac520e71e0077e,entry_0c2f003ad8b1da78404c,entry_d4347cdd72eee00ae9c2,PDF Pairing,FBI Photo A005,exact_normalized_label
pair_6efedcc65c6024e94493,entry_0c2f003ad8b1da78404c,entry_35ab41c4b938ab305040,PDF Pairing,FBI Photo B006,exact_normalized_label
pair_6f01f8405254a9530c84,entry_efcf8563cd11394c63b7,entry_608354d6f1a7a88edfd6,PDF Pairing,FBI-UAP-D015,exact_normalized_label
pair_7072c9c41bf987eec249,entry_3392aca15255c9d5bd5d,entry_0c2f003ad8b1da78404c,PDF Pairing,USPER Statement about UAP Sighting,exact_normalized_label
pair_70c957f7f58e728d6749,entry_446aefea54cc74e94ebf,entry_485c46fbfcb12bff2e14,Video Pairing,FBI-UAP-PR004,exact_normalized_label
pair_710342dfeeadd196f562,entry_ed950eea4fe4b57464b3,entry_09ff9a4916893c28f38d,PDF Pairing,Western US Event,exact_normalized_label
pair_710d0ad4205b1e4996cf,entry_25b25df82312e3c7b012,entry_fb1c683a5adb0cb2109e,PDF Pairing,DOW-UAP-D080,exact_normalized_label
pair_73fd2d6b71689ef97dbc,entry_b7720fdd1edd0cdc6a6c,entry_9920d27a349af18b1398,PDF Pairing,FBI-UAP-D042,exact_normalized_label
pair_7406a4fe15eb4ba2f31b,entry_731c16f60d5be7cc25e7,entry_0c2f003ad8b1da78404c,PDF Pairing,USPER Statement about UAP Sighting,exact_normalized_label
pair_75714bb0a87268fee111,entry_50b8fd4d590caf963ac2,entry_dcdfea26372c113b7109,Video Pairing,PR-019,unique_portal_pr_shorthand
pair_75dbb576029c8e22aecc,entry_d4347cdd72eee00ae9c2,entry_0d8fcb89c8fb00abccfa,PDF Pairing,"ODNI-UAP-D001, USPER Narrative, Senior USIC Official",exact_normalized_label
pair_7663179ae3c1365ec410,entry_e4b81855e1e6e65ad046,entry_fb1c683a5adb0cb2109e,PDF Pairing,DOW-UAP-D080,exact_normalized_label
pair_76b9b00785e7c1776b1f,entry_01acd3ac70fdb551c972,entry_fd392406db7d74dc5d17,Video Pairing,PR-022,unique_portal_pr_shorthand
pair_7723ba8b316093046a98,entry_d67799861ef3e5a9d2d5,entry_0177dbb4d82c0471a1d9,Video Pairing,DOW-UAP-PR122,exact_normalized_label
pair_7735c6da2c6ce659ab36,entry_293e2fc71396e060908a,entry_c2ab144b840838365260,Video Pairing,PR-034,unique_portal_pr_shorthand
